"","age","income","marital","gender","totalcharge"
"1",53,86575.93,0,1,3726.70286
"2",51,46805.99,1,0,4193.190458
"3",53,14370.14,0,0,2434.234222
"4",78,39741.49,1,1,2127.830423
"5",22,1209.56,0,0,2113.073274
"6",76,81999.88,0,1,2636.69118
"7",50,10456.05,0,1,3694.627161
"8",40,38319.29,0,0,3021.499039
"9",48,55586.48,0,1,2968.40286
"10",78,38965.22,0,0,3147.855813
"11",55,38503.82,1,0,2837.861788
"12",64,14126.3,0,1,3166.627638
"13",41,13411.83,0,0,2908.71172
"14",45,32370.31,0,1,3186.814113
"15",85,41558.19,0,0,2754.770365
"16",57,103866.49,0,0,2295.941875
"17",44,24250.51,0,1,2944.722978
"18",54,17345.63,0,0,2824.312023
"19",72,61723.87,0,0,2698.883482
"20",84,62054.63,0,0,3452.549291
"21",86,8686.47,0,0,3534.815016
"22",52,10279.73,0,1,3282.592435
"23",31,57621.66,0,0,3430.725944
"24",37,32677.97,0,1,3715.033085
"25",19,14925.43,1,0,4300.035326
"26",75,54972.25,1,1,3614.983186
"27",48,54036.35,0,0,3123.10967
"28",70,76816.23,0,0,4318.718733
"29",69,23640.03,1,1,3804.004093
"30",56,32009.77,0,1,3447.317284
"31",41,167105.1,0,0,3582.912144
"32",32,26675.01,0,0,2658.122426
"33",27,44563.7,0,1,4463.657419
"34",78,14004.04,0,0,3049.915565
"35",86,35338.02,0,0,2816.873007
"36",65,25316.19,0,0,3158.504981
"37",25,122615.82,0,0,2293.1836
"38",55,2061.96,0,1,3414.285086
"39",55,13060.67,0,1,3711.673538
"40",70,13059.24,1,0,2872.499307
"41",79,54555.09,0,0,2781.107852
"42",85,53280.05,0,1,3270.071216
"43",57,28975.56,1,0,2878.861966
"44",24,3977.42,0,0,3714.927496
"45",41,10406.93,0,0,4123.964218
"46",25,64111.79,0,0,3685.359633
"47",89,12785.96,0,1,3553.507736
"48",58,35065.22,0,0,2251.96708
"49",25,29224.21,0,1,3666.735859
"50",60,56824.95,0,0,3924.01976
"51",33,101159.2,0,0,3859.384171
"52",48,64267.4,0,1,3214.48003
"53",83,18866.15,0,1,2742.183229
"54",54,40970.05,0,0,3189.136163
"55",66,3512.72,0,1,2884.491451
"56",73,16654.59,0,0,2671.503183
"57",51,29396.59,0,0,3612.819217
"58",35,49901.4,0,0,3221.273743
"59",86,132963.95,0,1,2762.184305
"60",60,47271.02,0,1,3621.714719
"61",43,26589.81,0,0,4374.714856
"62",89,22718.17,0,0,3450.025197
"63",75,62583.87,0,0,3743.802763
"64",63,128855.39,0,0,4486.569552
"65",57,80286.61,0,0,2328.049638
"66",57,50129.65,0,0,3016.241604
"67",84,26005.2,0,1,2633.7656
"68",36,29328.32,0,0,4671.45901
"69",57,26613.85,1,1,3559.455859
"70",63,94836.44,0,1,2855.33979
"71",41,28977.92,0,1,2760.771235
"72",33,18350.26,0,0,2591.060747
"73",78,32310.31,0,0,3630.638542
"74",39,27838.14,0,1,4292.030901
"75",51,28972.49,0,1,2437.389562
"76",29,23226.23,0,0,3096.56107
"77",32,25732.1,0,0,3273.601085
"78",20,135288.23,0,0,2874.864967
"79",19,96597.84,0,1,2665.501129
"80",34,102305.08,0,0,3693.095792
"81",22,48490.95,0,1,3629.04502
"82",86,6829.67,0,0,2846.148825
"83",60,8459.99,0,0,3097.337588
"84",86,99813.98,0,1,3198.695139
"85",39,27219.77,0,0,4177.952329
"86",29,53571.26,0,1,3102.758504
"87",53,114525.82,0,1,3644.739482
"88",20,18388.64,0,1,2909.956129
"89",47,73557.75,0,1,3686.110694
"90",22,48676.03,0,1,2905.047226
"91",58,51848.76,0,0,2472.258779
"92",47,34499.5,0,0,2213.012537
"93",18,53675.93,0,1,3677.203622
"94",25,26749.81,0,0,3458.421346
"95",59,33069.48,0,0,3011.814106
"96",69,50017.99,0,0,3215.896924
"97",82,6172.28,1,1,2693.679414
"98",60,24715.72,0,0,2812.345376
"99",66,46309.76,1,0,3117.414837
"100",26,63673.87,0,0,3897.190561
"101",34,45755.08,0,0,2928.43668
"102",84,14057.58,1,1,3130.594194
"103",89,79759.72,0,1,2977.03142
"104",74,44127.32,0,0,4481.244063
"105",24,23180.9,1,0,2158.971959
"106",74,74131.94,0,0,3592.231939
"107",32,4788.93,0,1,2321.176987
"108",58,87961.11,1,1,4655.064733
"109",73,43110.8,0,1,3233.032527
"110",52,10691.69,0,0,2736.497067
"111",44,401.86,0,1,3337.58195
"112",39,31120.5,0,1,2897.155571
"113",41,28844.1,0,0,3343.884978
"114",84,25182.72,0,0,2822.097389
"115",89,38725.35,0,0,2588.662209
"116",38,16012.97,0,0,3015.147267
"117",43,49856.34,0,0,2418.977968
"118",70,42537.02,0,1,3047.147296
"119",28,17893.48,0,1,3353.77359
"120",37,32453.16,1,0,2430.890294
"121",69,9224.1,1,1,3407.230449
"122",70,39396.8,0,1,3769.052185
"123",43,35758.06,0,1,2467.875041
"124",55,20080.82,0,0,3822.898402
"125",69,22814.53,0,0,3454.349887
"126",69,43510.82,0,0,3081.550622
"127",60,59758.57,0,1,3109.995217
"128",77,21310.55,0,0,2249.05273
"129",18,18958.64,0,1,2677.309713
"130",45,10479.91,0,0,2891.276754
"131",27,16543.97,0,1,2090.915076
"132",89,9486.98,0,0,2858.536485
"133",30,55460.61,0,0,2629.144417
"134",87,31341.91,1,1,3236.262024
"135",26,92305.85,0,1,3674.588568
"136",26,65558.03,0,1,3002.77555
"137",33,57365.89,0,1,3081.958465
"138",56,14495.72,0,1,2999.404998
"139",23,11771.54,0,0,2139.255281
"140",64,39587.81,0,1,2431.321499
"141",65,57930.01,0,0,2330.462957
"142",60,19201.78,0,0,3258.940727
"143",51,67115.76,0,0,3768.784382
"144",66,54106.58,0,0,3073.728326
"145",28,24507.11,0,1,3193.37396
"146",29,17848.85,0,0,2876.130613
"147",64,34613.82,0,0,2967.014792
"148",80,12775.56,0,1,2711.727608
"149",71,15441.04,0,1,3120.465108
"150",45,10585.59,0,1,2534.778234
"151",26,33060.09,0,0,4114.410033
"152",68,60747.04,0,1,2391.251185
"153",75,39379.33,0,0,5161.511251
"154",41,45721.95,0,0,2439.655277
"155",89,63284.65,0,0,3165.38381
"156",79,14324.28,0,1,4479.651304
"157",70,12736.92,1,0,2349.337935
"158",55,7850.97,1,0,3204.637057
"159",40,30748.44,0,1,2849.157102
"160",77,30838.24,0,0,2350.098782
"161",39,15108.7,0,1,3274.184404
"162",73,28312.92,0,1,3558.017541
"163",51,15542.98,0,1,4032.168031
"164",75,50685.08,0,0,4060.676963
"165",19,4620.27,0,1,3234.889404
"166",63,31129.21,1,0,2701.621781
"167",19,56007.17,0,1,3268.304281
"168",51,36989.44,0,1,3784.018114
"169",67,28918.54,0,1,3830.991314
"170",44,14012.46,0,0,3487.121029
"171",79,66976.42,0,0,3429.816424
"172",74,71690.34,0,1,3782.306917
"173",24,12393.93,0,1,4150.929602
"174",70,178470.63,0,1,2622.687804
"175",76,63171.53,0,1,3054.090087
"176",30,19326.83,0,0,2601.265684
"177",60,54294.81,0,0,2690.240618
"178",69,77166.65,0,1,4136.592833
"179",75,15361.49,0,1,3437.951368
"180",30,52156.76,0,1,3173.673906
"181",33,128959.11,0,1,3935.783244
"182",79,38494.74,0,1,2518.247827
"183",52,26868.88,0,0,2425.098131
"184",29,12507.35,1,0,4249.456473
"185",88,50961.48,0,0,2770.598939
"186",80,9683.21,0,1,3026.900288
"187",30,17206.78,1,1,3410.833008
"188",52,104590.78,0,1,3357.681338
"189",62,14738.09,0,0,3809.533968
"190",24,103987.12,0,0,2905.891041
"191",23,131682.02,1,0,2807.08986
"192",66,28884.09,0,0,3138.047763
"193",66,28763.83,0,0,2783.227448
"194",87,81903,0,1,3183.215168
"195",73,56109.08,0,1,2751.726083
"196",52,32771.91,0,1,2146.043215
"197",76,15037.34,0,0,2688.23834
"198",30,14214.6,1,0,3154.68177
"199",19,80233.71,0,1,4532.093567
"200",48,47701.72,1,1,2771.330583
"201",69,55073.21,0,0,3724.089519
"202",44,30111.05,0,0,2831.540874
"203",89,63469.22,1,1,3232.607372
"204",49,2068.19,0,0,3754.511229
"205",36,22167.97,0,0,2258.669788
"206",71,102928.56,1,0,2301.104206
"207",29,17737.76,0,0,2929.615867
"208",39,38202.78,0,1,2640.962006
"209",62,81219.57,0,1,4063.785994
